Time,GPS_Long,GPS_Lat,GPS_Alt,SDn,SDe,SDu,GPS_Status,IMU_AngVelX,IMU_AngVelY,IMU_AngVelZ,IMU_LinearAccX,IMU_LinearAccY,IMU_LinearAccZ
rospy.Time[1638475950267682974],-65.07666008,44.95505432,8.595,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475950462674059],-65.07666014,44.95505434,8.602,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475950660353869],-65.07666013,44.95505434,8.601,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475950858593087],-65.07666006,44.95505432,8.604,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475951073783199],-65.07666009,44.95505431,8.6,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475951259783579],-65.07666009,44.95505434,8.603,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475951467652406],-65.07666007,44.95505432,8.602,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475951663512150],-65.0766601,44.95505433,8.6,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475951857118840],-65.07666004,44.95505429,8.606,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475952060788468],-65.07666004,44.95505429,8.608,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475952264377262],-65.07666009,44.95505431,8.601,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475952461765403],-65.07666012,44.95505431,8.604,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475952666091167],-65.07666006,44.95505429,8.607,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475952868787895],-65.07666007,44.95505433,8.608,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475953083970678],-65.07666007,44.95505431,8.602,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475953264338483],-65.07666008,44.95505432,8.602,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475953459077460],-65.07666011,44.95505435,8.596,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475953680545213],-65.0766601,44.95505431,8.602,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475953864298546],-65.07666005,44.95505433,8.603,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475954061629711],-65.07666008,44.95505432,8.611,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475954259957842],-65.07666009,44.95505423,8.599,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475954468913506],-65.07666031,44.95505393,8.61,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475954672545524],-65.07666044,44.95505354,8.611,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475954868022462],-65.07666072,44.9550529,8.609,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475955077057767],-65.07666116,44.95505205,8.604,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475955273887501],-65.07666173,44.95505089,8.594,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475955460463373],-65.07666252,44.95504913,8.59,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475955658345982],-65.07666346,44.95504675,8.589,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475955863248750],-65.07666501,44.9550439,8.581,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475956068367147],-65.07666707,44.95504054,8.554,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
