Time,GPS_Long,GPS_Lat,GPS_Alt,SDn,SDe,SDu,GPS_Status
rospy.Time[1638475950267682974],-65.07666008333334,44.95505431833333,8.594999999999999,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475950462674059],-65.076660135,44.95505434333333,8.602,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475950660353869],-65.076660125,44.95505433666666,8.600999999999999,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475950858593087],-65.07666006166667,44.95505431666667,8.604,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475951073783199],-65.07666009333333,44.955054311666665,8.599999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475951259783579],-65.07666009333333,44.95505434333333,8.602999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475951467652406],-65.07666007,44.95505431666667,8.602,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475951663512150],-65.07666010333334,44.95505432833333,8.599999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475951857118840],-65.07666003666667,44.955054286666666,8.605999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475952060788468],-65.07666003666667,44.955054288333336,8.607999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475952264377262],-65.07666009333333,44.95505430833333,8.600999999999999,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475952461765403],-65.07666011833334,44.95505430833333,8.604,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475952666091167],-65.07666005833333,44.95505429166667,8.607,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475952868787895],-65.07666006666666,44.955054325,8.607999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475953083970678],-65.07666007166667,44.955054311666665,8.602,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475953264338483],-65.07666007833333,44.95505431833333,8.602,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475953459077460],-65.07666011,44.95505435166667,8.596,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475953680545213],-65.07666009666667,44.95505431,8.602,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475953864298546],-65.07666004833334,44.95505433333334,8.602999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475954061629711],-65.07666007833333,44.95505431833333,8.610999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475954259957842],-65.07666009166667,44.955054231666665,8.599,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475954468913506],-65.07666030833333,44.955053925,8.61,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475954672545524],-65.07666044333334,44.95505353666667,8.610999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475954868022462],-65.07666072333333,44.955052895,8.608999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475955077057767],-65.07666116,44.95505205166667,8.604,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475955273887501],-65.07666172666667,44.95505088666667,8.593999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475955460463373],-65.07666251833334,44.95504913166667,8.59,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475955658345982],-65.07666345666667,44.95504675166666,8.588999999999999,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475955863248750],-65.07666501,44.9550439,8.581,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475956068367147],-65.07666706833334,44.95504054,8.553999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475956259945086],-65.07666950333333,44.95503666,8.552,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475956460121605],-65.07667213666667,44.95503240833333,8.538,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475956660383430],-65.076675205,44.955027935,8.511999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475956870979689],-65.076678675,44.95502321333333,8.491999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475957069466988],-65.07668284333333,44.95501836666666,8.472999999999999,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475957260338006],-65.07668751333334,44.955013443333335,8.468999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475957477160810],-65.07669266333333,44.95500845666667,8.450999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475957668339286],-65.07669806666667,44.95500326333333,8.421999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475957868437520],-65.07670387666667,44.95499802333333,8.407999999999998,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475958069483827],-65.07671027333333,44.954992835,8.398999999999997,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475958261526281],-65.07671718,44.95498773333333,8.389,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475958465981221],-65.07672453,44.95498265166667,8.373000000000001,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475958660900460],-65.07673218666666,44.95497761333333,8.355,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475958860003443],-65.07674021666666,44.954972505,8.342000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475959074432375],-65.07674867166666,44.95496750666667,8.339000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475959266472551],-65.07675748166666,44.954962521666666,8.318000000000001,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475959463163134],-65.07676646333333,44.95495751333333,8.307000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475959665338841],-65.076775805,44.954952643333336,8.302,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475959859168887],-65.07678521666666,44.954947921666665,8.29,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475960058678652],-65.07679478333333,44.95494332166667,8.271,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475960264503492],-65.07680452333334,44.95493883333333,8.275000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475960459623842],-65.07681429166666,44.95493451166666,8.269000000000002,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475960662689975],-65.07682418666667,44.954930375,8.254000000000001,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475960860631126],-65.07683435166666,44.954926605,8.253,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475961077646180],-65.07684475333333,44.95492311333334,8.259,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475961266119138],-65.07685527166667,44.95491999833333,8.262,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475961463848130],-65.07686607333333,44.95491744833333,8.258000000000003,0.000256,0.000256,0.004096,2.0
rospy.Time[1638475961665015387],-65.07687707166667,44.95491535666667,8.249000000000002,0.000256,0.000256,0.004096,2.0
